user,item,error
0,0,0.65130544
1,0,0.0
2,0,0.61125046
3,0,0.1577721
4,0,1.0
5,0,0.20231791
6,0,0.7025031
7,0,2.9903054e-05
8,0,0.16435325
9,0,0.042089902
10,0,0.0
11,0,1.0
12,0,0.0010268138
13,0,0.03166685
14,0,0.004536203
15,0,0.60133344
16,0,0.31679153
17,0,0.0
18,0,0.081943765
19,0,0.102759
20,0,0.0
21,0,0.006878902
22,0,0.027448576
23,1,0.0028422524
24,1,0.07941757
25,1,0.6613567
26,1,0.44645813
27,1,0.034772318
28,1,1.5655605
29,1,0.85697204
30,1,0.92980075
31,1,0.63633925
32,1,0.0824129
33,1,0.792773
34,1,0.09336844
35,1,0.9574956
36,1,0.48844087
37,1,1.0766563
38,2,0.31850615
39,2,0.3281574
40,2,1.159118
41,2,0.11922564
42,2,1.3260071
43,2,0.0
44,2,0.0012107118
45,2,0.3569041
46,2,0.0
47,2,0.004704872
48,2,0.15077017
49,2,0.0
50,2,3.326146
51,2,0.0
52,2,0.05852482
53,2,0.0
12,2,0.0
54,2,0.077033065
13,2,0.0
55,2,0.045757122
56,2,0.009068182
57,2,0.06576938
58,2,0.4055899
59,2,0.17603415
60,2,0.49955544
61,2,0.0
62,2,0.07195754
63,2,0.0
64,2,0.007435003
65,2,0.1270383
66,2,0.0
67,2,0.5153719
68,2,0.015870215
69,2,0.006773988
70,2,0.0019575572
71,2,0.0
72,2,0.0
73,2,0.0
74,2,0.0
75,2,0.0
76,2,0.0
77,2,0.3005903
78,2,0.20745343
79,2,0.0
80,2,0.0
81,2,0.0
82,2,0.104536995
83,3,0.7561052
84,3,3.259937
85,3,0.016960958
86,3,0.0
87,3,0.069635555
88,3,0.0
89,3,0.0
90,3,0.0
91,3,0.018996391
92,3,4.09017
93,3,10.543032
94,3,0.12394949
95,3,0.266592
96,3,0.1589942
97,3,0.22163595
98,3,0.016275482
99,3,0.47541597
100,3,0.3978909
101,3,0.018263062
2,3,1.7077509
102,3,0.0
103,3,0.28883234
104,3,0.0392461
105,3,1.2316741e-07
106,3,0.020882942
107,3,0.0
108,3,1.4123065
109,3,0.060215987
110,3,0.039631512
111,3,0.0
112,3,0.31196946
113,3,0.80252963
