user,item,error
3569,660,1.0163709
1834,1098,2.8550994
3279,652,0.0
952,63,0.0035656858
4368,1320,0.0
1452,822,0.00028735542
1202,1635,0.20139755
2240,542,0.1990518
4481,900,0.0
2944,1018,8.4120526e-05
2410,1555,0.22797821
3356,652,0.5375341
4781,1549,0.5739557
70,38,0.07608076
2286,267,0.0
1567,701,0.62152594
2433,1245,0.0
1156,784,0.0
3945,1076,0.0
4061,898,0.090629496
222,16,0.20509675
1789,1549,0.46750188
2881,1267,0.21337473
9,652,7.9101963
570,982,0.3096203
819,351,0.32977182
942,762,1.0828713
4078,1351,1.0
1918,528,2.3259046
1792,1396,0.22655405
3080,1014,0.06574444
4021,1642,0.63059944
2386,279,0.01849682
2643,504,0.4349357
4385,1645,0.30523124
2858,361,0.06693575
4969,1632,2.1902611
4379,865,1.0795954
2795,346,0.9392648
2081,326,0.46627355
1965,1351,0.41775957
2221,1389,0.42043224
2692,328,0.011231238
563,275,0.0035147872
3638,1472,0.07602973
921,1378,0.3372074
3330,1057,0.028179392
3331,464,0.716186
2411,795,1.3987272
2380,1257,0.15420295
941,119,0.017844819
1655,1555,0.8943163
868,556,0.15930274
2892,498,0.15956245
3382,1054,0.05894964
2420,341,0.1389673
3319,724,1.991993
3458,577,0.18236488
1856,189,1.3158312
3774,1495,0.039720226
649,681,0.006862539
1600,1184,0.08542772
1195,105,0.0
4091,1078,0.00063549116
4300,1109,0.18108103
3714,1236,0.0
1223,95,0.0
1936,1542,0.0
185,732,0.50615245
2948,1278,0.0
3365,840,0.23637709
1653,839,0.0027214393
2181,244,0.08214837
4533,914,0.004418407
3400,1170,0.83525485
4132,1057,0.2213864
2734,853,0.00040666433
1215,231,0.34810692
286,562,0.04583529
4551,932,0.84727424
151,14,0.0
2949,469,0.35019052
4909,1269,0.00021294536
4845,1551,3.6698332
1389,1551,4.4628744
1444,1183,0.040933035
3574,865,0.0035543055
4519,1291,0.025028229
3834,1388,0.0
4026,823,0.10397472
3790,1565,5.3732815
468,1001,0.046245366
676,658,0.018823022
578,1227,0.0
2782,1029,0.25472274
4508,1391,0.41216424
4812,1183,0.38562506
4894,1557,1.2553383
1620,1001,0.14473186
2577,1001,0.3727453
2047,227,0.0
3231,453,0.0
526,1392,0.844833
501,1548,1.1155757
3999,795,2.1322622
1695,1184,0.32939157
1748,550,0.16195455
648,529,0.0
1485,1416,0.042891163
5,679,0.068700776
921,1377,0.0
4577,1556,3.3432329
2342,269,0.31591773
4033,928,0.10252955
4120,1551,0.44842708
711,45,0.24460635
3827,1257,0.45797274
1680,307,0.49105304
1052,1250,0.61462146
153,123,0.01644895
4369,865,0.108062856
1480,195,0.0013623523
1758,885,0.0
5026,1602,1.0853989
3359,470,1.1905444
1146,119,0.16453075
3024,447,0.04224069
4737,1184,2.460384
1565,1045,1.1455178
3236,785,0.16563585
3484,1288,0.6297723
378,95,1.9812181
1391,652,0.19706805
1658,270,0.5777112
4977,1548,0.013054303
4023,1645,0.6112508
3798,1168,0.17111088
1257,865,0.26042524
2545,1229,1.7330265
4049,885,0.30719227
734,889,0.6490969
3036,1229,0.019278454
2200,800,0.0060798456
2413,283,0.0
1192,266,0.10044179
4519,1404,0.35269254
750,153,0.010367407
1112,77,0.75724083
2308,504,0.43825403
1869,266,0.37174714
860,649,0.9710145
2569,1362,0.0
4532,1450,0.0
1820,700,0.036528915
2509,357,0.72571105
4849,1183,0.52155066
3755,1291,0.0
2093,227,0.20426534
4394,1363,0.5002061
4858,1555,0.36724517
1022,498,0.41003206
3264,1681,0.52093583
3784,1193,0.004427699
2506,1229,0.39803228
2030,1375,0.48720992
1794,1257,0.013418399
893,57,0.0
4773,1170,0.01787375
3260,1005,0.59957427
780,48,0.21426177
3450,1262,0.06349888
1171,766,0.23373213
36,1675,0.01752068
4606,1377,9.259566
2181,1085,0.63265306
455,1660,0.015976356
2217,1386,0.67941123
4106,1290,1.1526124
3168,875,0.41136655
682,1595,0.2498603
3041,779,0.2742225
1531,1295,0.7599113
2720,937,0.0
250,1052,0.29771832
4782,1172,0.13768987
787,1255,0.06687803
4894,1555,0.029503165
3355,470,0.016171504
165,15,0.0
1312,1428,0.38186038
587,1655,0.28330648
3852,1555,0.07002921
533,1184,0.7031603
3889,958,0.00018911705
1453,236,0.32711202
4468,1029,0.9600136
722,176,2.293351
3631,1336,0.18576983
1516,1236,0.057490308
63,394,1.5727466
1992,282,0.22516128
4820,1171,0.157681
106,8,0.03683742
2308,1570,0.07828881
2385,414,0.0
