user,item,error
2718,1920,0.68176365
1038,1530,1.3543677
5502,3272,0.00867082
2424,2446,0.18042885
573,1035,0.32921535
3392,1950,0.17228256
294,579,0.054179527
2421,2468,0.048185512
4295,1750,1.1488345
5537,3474,0.09452422
4855,2225,0.120979115
930,2289,0.36976582
5451,3200,6.9116875e-05
183,1002,0.87747633
239,825,0.0
829,81,0.0018406628
4615,2044,0.0
844,2450,3.30146
380,2124,3.0827208
2850,3004,0.0032243317
304,1476,0.16761069
1436,1191,1.0
1710,520,1.1886991
904,239,0.061704323
858,245,0.33674073
3916,1820,0.0
1391,2254,0.6334293
972,815,0.3200964
4652,2419,1.1740619
3585,1595,1.4474651
220,1124,1.0
319,1970,0.0011243726
935,93,0.793562
1111,115,0.3333015
3098,1250,0.31220654
396,2136,1.1651787
509,1336,0.7235281
1839,2885,0.19079341
1898,2758,0.061223183
514,1196,0.16735779
482,1468,2.5459
4004,1524,0.45028707
3892,2225,0.09588501
1283,1296,0.13412477
1388,2372,1.2339307
2076,1273,0.00078225846
4868,2714,0.72697246
4130,1972,0.2781176
3496,3224,0.038828738
3340,1308,0.0
401,1070,0.0
5459,3281,0.5394527
772,1430,0.64041847
5,1920,1.1655138
319,608,0.22112936
107,1217,0.00012444753
3916,2007,0.29834306
184,3507,1.4977779
1828,2693,0.025336504
539,1211,0.009699576
1367,731,0.12505591
307,1198,0.78241116
3297,677,0.0015154659
208,1062,0.22345713
2343,343,0.44975993
408,1512,0.09370152
279,463,0.0029468406
983,2164,0.00829013
2226,397,0.41398343
1264,345,1.5198599
1294,1216,0.10275778
3018,1966,0.5583506
537,1840,0.16868336
4888,2422,1.0
438,231,0.0030807299
904,834,0.070445225
2503,3034,0.3223265
319,868,0.47148794
840,1988,0.05009602
109,2306,0.09635853
37,592,0.02347708
4517,1914,2.5510643
5138,2571,0.020365931
348,1193,1.2250941
3000,1451,0.5624138
836,852,0.0
3566,1908,0.24039286
2300,1969,0.18229932
3950,1857,0.35808697
921,1680,0.0
2835,1410,0.14503352
3392,2257,0.3283
4053,2346,1.1366656
4070,1920,0.03693101
226,1439,0.032592658
4730,2234,0.53374237
90,3,0.0
218,1910,0.21039951
1595,2891,0.06862056
408,2105,1.349928
120,3279,0.2632747
222,1958,3.4731045
126,1582,2.0743418
4217,2329,0.85233676
1848,3165,0.17871878
2785,3077,0.0
4921,2258,1.2616531
1023,106,0.09948415
2803,2432,0.0
2621,424,0.78665835
4817,2389,1.4391081
0,0,0.6727335
3903,2583,0.42620087
2361,1777,0.018913476
2860,1565,2.74363
2749,3209,0.0
77,240,0.11820931
1155,2598,0.016067253
1197,823,0.35053855
858,2629,0.0130778495
367,321,2.6084952
1582,987,0.14846356
646,1795,0.013394823
1757,240,0.0013005196
4212,3270,0.16253306
2045,649,0.011741333
1473,169,0.0
2320,2224,0.1486547
1572,2707,0.020283675
61,2,0.0
1437,1673,0.048402004
1780,1598,0.0038434428
77,2618,0.4820799
4895,2149,0.029530363
2329,757,0.27485934
292,2413,0.37738854
2297,1199,0.07848372
2025,2450,0.14361909
1022,1149,3.579867
2368,1097,1.4428798
3848,2287,0.18771791
344,1693,0.10746115
2291,2122,0.0
593,966,0.30987054
2679,439,0.46976402
3676,917,0.07043231
1615,178,0.0
2164,1310,0.12732501
1722,1990,0.32989258
25,2240,0.10803323
1452,2146,0.0499643
266,384,0.14575063
1786,745,7.8560726e-05
1148,2541,0.091618076
555,1734,0.008364668
1042,1841,0.303412
657,246,0.12418883
294,751,3.3417482
1796,2723,0.0
3194,2953,0.08524802
86,1614,0.13903485
494,580,0.012301755
1387,2256,0.16892043
1213,2003,2.3115525
5176,3145,0.00092763006
1908,1948,0.0058152378
858,3270,0.04179693
5308,2864,0.5404474
1999,650,0.0
1398,2124,0.30524573
1097,947,0.07907635
2995,788,0.0
4341,1777,0.02251734
2894,1046,0.0
1224,1836,0.0008677203
1536,2079,0.061364844
4635,3358,1.6103963
472,2584,0.0
1370,1481,0.17078854
77,889,0.0008356044
4634,3182,0.63462263
430,2658,0.021533595
1270,2722,0.08819055
3605,2395,1.4784231
5237,2855,0.53596413
130,844,0.28521702
2723,964,0.21849716
1030,1330,0.35798055
4098,2065,1.7527384
88,1136,0.0
3602,1108,0.0009847155
1239,1787,0.021013657
1011,1110,0.25175306
346,106,0.14463139
162,638,0.4673754
357,33,0.0
582,1353,0.052948713
187,1327,0.0
87,280,3.3065538
2967,631,1.5169215
294,142,1.0348651
1064,360,0.68229526
2577,432,0.28343162
54,1035,0.42903653
1496,1673,0.5272163
690,3216,1.0000429
2166,290,1.0489035e-05
3335,1657,0.30256104
1477,2419,0.085967295
5024,2432,1.0004616
3395,905,0.04517301
2861,2989,0.0017503127
4694,2164,0.0
3474,2124,0.5415817
1193,2405,1.3067087
3088,2200,0.025495384
2649,520,0.020494338
111,2464,0.9724472
307,2655,0.7086424
3699,1828,0.040926285
1843,1078,0.004238656
4359,2192,2.7285903
878,2316,0.0013224502
737,874,0.52691793
1193,1145,0.0
4884,2245,0.5535168
741,987,0.00045394726
3506,3003,0.4601781
2329,994,0.03077512
1759,645,0.3326211
729,183,0.9145093
1989,3156,0.16821799
1920,1853,1.4904323
264,2590,0.8083145
4532,3033,0.07546096
209,106,0.0047107614
479,2586,2.3441439
1906,2006,0.0912432
4695,2764,0.117612
1620,1656,0.01864934
4759,2244,0.37212226
1107,2833,0.18095686
811,2820,0.5280601
385,1745,0.6282702
79,798,0.0
1427,1565,1.0
2844,1489,0.16037834
973,2704,1.206168
3349,720,0.20347841
4459,1680,0.0
294,889,0.085691325
832,2204,0.0
77,3016,0.037289627
861,228,0.4781036
339,240,3.8690262
120,3359,0.089824244
1627,2708,2.1536276
3037,952,0.09586035
1214,1257,0.1831754
804,1866,1.1374775
294,797,0.00090936373
1501,2136,1.0806861
4587,1777,2.922464
2953,2576,1.2147461
143,176,0.08124231
3263,1602,0.80925107
546,1673,0.0003004009
175,1985,0.045242056
4227,1845,0.06837346
248,961,0.025481984
1435,533,0.0
208,656,0.001149066
3591,905,1.5972897
2127,1334,0.16318734
198,667,0.0
461,2615,0.68856114
3158,1844,0.7650986
324,876,0.03470335
485,1937,0.9321099
4377,3351,0.31354013
549,2613,0.75383633
5174,2988,0.1679654
286,2519,1.8877144
4355,1888,0.0430695
1589,3042,0.16404293
4130,2425,0.0
1391,2676,0.049079325
1985,2673,0.012555909
3938,3382,0.46773338
2154,297,0.19012001
2749,1505,0.0011631716
2739,2215,1.0511062
2686,3102,0.04691037
30,2588,0.06925726
2673,3427,0.07284361
2612,2141,0.25940323
4716,3436,0.0
2375,1909,0.046177715
218,178,0.12019805
69,2622,0.052761145
74,668,0.0
677,226,0.04930692
2258,618,0.0
334,521,1.7091033
3797,1529,0.38205254
4538,1955,0.0
1240,614,0.0
3640,2598,2.0335388
109,2182,0.44293204
1835,1777,0.39343593
765,649,0.08357808
294,2173,0.5981477
1369,485,0.033012547
3761,3345,0.012284837
2567,1663,0.031714045
1263,2887,0.1352451
854,879,0.047833413
1489,1673,0.0
294,254,1.4683288
692,384,0.03035646
599,290,0.15270638
661,2224,0.36788812
2328,2426,0.2303611
3849,3299,0.039181326
4452,2254,2.5268073
5414,3472,0.18520118
790,464,0.10981311
4993,2410,0.008206807
1181,2025,0.87385
3033,3206,0.022087872
308,337,1.2277486
4072,1889,6.4709105
2844,1602,0.0
1387,2409,0.4942594
1358,315,0.033569187
2608,2149,0.25629234
253,1481,0.61419463
1173,692,0.0015920151
651,2829,0.10421534
3496,2840,0.28182468
2242,2358,0.19323222
