user,item,error
2718,1920,0.5289461
1038,1530,0.9395883
5502,3272,0.0052943104
2424,2446,0.13681647
573,1035,0.33885142
3392,1950,0.12588844
294,579,0.0032293429
2421,2468,0.034212276
4295,1750,0.98542225
5537,3474,0.117006086
4855,2225,0.07414223
930,2289,0.2527939
5451,3200,0.0
183,1002,0.78381884
239,825,0.0
829,81,0.0
4615,2044,0.0
844,2450,3.2737553
380,2124,4.1689086
2850,3004,0.019326419
304,1476,0.25976184
1436,1191,1.0
1710,520,1.6629646
904,239,0.024832176
858,245,0.30868837
3916,1820,0.0017766242
1391,2254,1.0
972,815,0.363969
4652,2419,1.1404744
3585,1595,2.0885065
220,1124,0.8098963
319,1970,0.0012806145
935,93,0.6172999
1111,115,0.2845619
3098,1250,0.15954112
396,2136,1.2581302
509,1336,1.2499667
1839,2885,0.15367164
1898,2758,0.11969799
514,1196,0.06333677
482,1468,2.4359226
4004,1524,0.24783842
3892,2225,0.16533849
1283,1296,0.23394243
1388,2372,1.5206789
2076,1273,0.00026039136
4868,2714,0.8895752
4130,1972,0.23180658
3496,3224,0.0053261393
3340,1308,0.0
401,1070,0.0
5459,3281,0.44382614
772,1430,0.66332924
5,1920,1.1013296
319,608,0.30862477
107,1217,0.0
3916,2007,0.38954154
184,3507,1.7042121
1828,2693,0.002156331
539,1211,0.022672448
1367,731,0.037132703
307,1198,1.0
3297,677,0.0
208,1062,0.14751154
2343,343,0.46487677
408,1512,0.15905277
279,463,0.040312286
983,2164,0.026491677
2226,397,0.2865428
1264,345,1.2503607
1294,1216,0.032983962
3018,1966,0.35659763
537,1840,0.122269064
4888,2422,1.0
438,231,0.0
904,834,0.098498784
2503,3034,0.23174919
319,868,0.48103756
840,1988,0.066272825
109,2306,0.07795082
37,592,0.020045534
4517,1914,2.0629935
5138,2571,0.010050876
348,1193,0.9795596
3000,1451,0.49359918
836,852,0.0
3566,1908,0.1613089
2300,1969,0.26140073
3950,1857,0.13563468
921,1680,0.0
2835,1410,0.14105448
3392,2257,0.4714801
4053,2346,1.128159
4070,1920,0.07302892
226,1439,0.031498384
4730,2234,0.3661361
90,3,0.0
218,1910,0.25493145
1595,2891,9.52557e-05
408,2105,1.4484054
120,3279,0.26450974
222,1958,3.5954342
126,1582,1.6405522
4217,2329,1.3860251
