user,item,error
0,0,0.6846511
1,0,0.0
2,0,0.72058886
3,0,0.19876768
4,0,1.0
5,0,0.2945438
6,0,0.6657692
7,0,0.008493595
8,0,0.11137045
9,0,0.03256064
10,0,0.0
11,0,1.0
12,0,0.010662537
13,0,0.058765933
14,0,0.026626892
15,0,0.49368295
16,0,0.22973308
17,0,0.0
18,0,0.055515446
19,0,0.15219662
20,0,0.0
21,0,0.0008475283
22,0,0.03625929
23,1,0.0063799764
24,1,0.09999286
25,1,0.83915275
26,1,0.5955281
27,1,0.11474632
28,1,1.5372387
29,1,1.0668299
30,1,0.65712595
31,1,0.50195926
32,1,0.101081446
33,1,0.48117185
34,1,0.13121183
35,1,1.157937
36,1,0.89908683
37,1,1.3982011
38,2,0.24231848
39,2,0.28467232
40,2,0.99221224
41,2,0.13256983
42,2,1.3160057
43,2,0.0
44,2,0.0
45,2,0.41195306
46,2,0.0
47,2,0.016017245
48,2,0.14965837
49,2,0.0
50,2,3.279292
51,2,0.0
52,2,0.050143737
53,2,0.0
12,2,0.0
54,2,0.106853634
13,2,0.0
55,2,0.036651686
56,2,0.040978972
57,2,0.07828694
58,2,0.5996706
59,2,0.23524779
60,2,0.4412127
61,2,0.0
62,2,0.105961435
63,2,0.0
64,2,0.012992376
65,2,0.09997928
66,2,0.0
67,2,0.49686757
68,2,0.029577252
69,2,0.011604039
70,2,0.002461639
71,2,0.0
72,2,0.0150157
73,2,0.0
74,2,0.0
75,2,0.0
76,2,0.0
77,2,0.34183183
78,2,0.3477756
79,2,0.0
80,2,0.0
81,2,0.0
82,2,0.11942297
83,3,0.6721727
84,3,3.0910046
85,3,0.02180848
86,3,0.0
87,3,0.041666597
88,3,0.0
89,3,0.0
90,3,0.0
91,3,0.029751197
92,3,4.0520816
93,3,10.698264
94,3,0.10169363
95,3,0.16808228
96,3,0.17213158
97,3,0.1772418
98,3,0.006755202
99,3,0.49531996
100,3,0.3629545
101,3,0.0071586077
2,3,1.5038204
102,3,0.0
103,3,0.3693675
104,3,0.01262327
105,3,0.008986316
106,3,0.02111733
