,user,user_id,item,item_id,rating
0,A3EBHHCZO6V2A4,0,5555991584,0,5
1,AZPWAXJG9OJXV,1,5555991584,0,5
2,A38IRL0X2T4DPF,2,5555991584,0,5
3,A22IK3I6U76GX0,3,5555991584,0,5
4,A1AISPOIIHTHXX,4,5555991584,0,4
5,A2P49WD75WHAG5,5,5555991584,0,5
6,A3O90G1D7I5EGG,6,5555991584,0,3
7,A3EJYJC25OJVKK,7,5555991584,0,5
8,A1DA8VOH9NR6C7,8,5555991584,0,5
9,A33TRNCQK4IUO7,9,5555991584,0,5
10,AWY3EPKEOUV1W,10,5555991584,0,5
11,A1SCJWCMQ3W3KK,11,5555991584,0,4
12,A14BTJRH9VNLJJ,12,5555991584,0,5
13,A2AOZQ3WTNVVOK,13,5555991584,0,5
14,A1BXA3SM3AJOKL,14,5555991584,0,4
15,A3CCYAQRHUTPIQ,15,5555991584,0,5
16,AHUT55E980RDR,16,5555991584,0,5
17,A24N1BAS3CU27H,17,5555991584,0,5
18,A19YHEBK099R7U,18,5555991584,0,4
19,A16KCH578FG4B4,19,5555991584,0,5
20,A3UBAZKS727Z0E,20,5555991584,0,5
21,A23H9KY3Q1YJ2N,21,5555991584,0,5
22,AYZCMVSSL4X4B,22,5555991584,0,5
23,A1LQ1A8DNOTUKV,23,B0000000ZW,1,4
24,A1W3ZAKFIDGM13,24,B0000000ZW,1,5
25,A200C7YQJ45LRR,25,B0000000ZW,1,4
26,A3RNC9BGR4J1ZF,26,B0000000ZW,1,5
27,A268MFPSNVICJS,27,B0000000ZW,1,5
28,A1L8IB1K8ETJW9,28,B0000000ZW,1,3
29,ARFL4OAG9CI1H,29,B0000000ZW,1,5
30,A1X93ES4DITTWK,30,B0000000ZW,1,1
31,A1JXEJFPV9EUVS,31,B0000000ZW,1,3
32,A141XAG09QATRB,32,B0000000ZW,1,5
33,A3QZA3MXC75V4E,33,B0000000ZW,1,3
34,A28N19JIB5161D,34,B0000000ZW,1,5
35,A3BLMCU4V5J2DX,35,B0000000ZW,1,5
36,AAQMHLS8BN9YJ,36,B0000000ZW,1,4
37,AE9GUE3HHOX3U,37,B0000000ZW,1,5
38,A4BPK6TYITJS,38,B00000016T,2,5
39,A31KXTOQNTWUVM,39,B00000016T,2,5
40,A2EENLV6OQ3DYM,40,B00000016T,2,5
41,AEUY86R8JQZWC,41,B00000016T,2,5
42,A3QEW0HMXQRWT9,42,B00000016T,2,5
43,A1O8U0FEBTGRJP,43,B00000016T,2,5
44,APOGXH3A74CM3,44,B00000016T,2,5
45,A1BW7LM8PQ7LO4,45,B00000016T,2,5
46,A250BI36M1IR26,46,B00000016T,2,5
47,AEFRJ6ZBKGZV2,47,B00000016T,2,5
48,A1M1PPER44S9AI,48,B00000016T,2,4
49,A8MWQY1R5YE3M,49,B00000016T,2,5
50,A10I9Y44HCRPG,50,B00000016T,2,2
51,APTL3KI55TM8T,51,B00000016T,2,5
52,A3T9IX8EDFDX4G,52,B00000016T,2,5
53,A38NQGQW63IQJJ,53,B00000016T,2,5
54,A14BTJRH9VNLJJ,12,B00000016T,2,5
55,ASSCA9IS0GWF5,54,B00000016T,2,5
56,A2AOZQ3WTNVVOK,13,B00000016T,2,5
57,A275DIY2RW2YQS,55,B00000016T,2,5
58,A4VVYYB68NL4Z,56,B00000016T,2,4
59,APN6DO7VHDLTN,57,B00000016T,2,5
60,A31I5XTQ5BAR9F,58,B00000016T,2,5
61,A1Z3DUZZ8IUFVY,59,B00000016T,2,5
62,A1RJD10TTI568L,60,B00000016T,2,4
63,A2TX79GR278JMA,61,B00000016T,2,5
64,A1U2T71CDVKFRH,62,B00000016T,2,5
65,A1LDAIGOQ6N4DW,63,B00000016T,2,5
66,A1BJJVV2B5VLUQ,64,B00000016T,2,5
67,AW3FTPCBPVQNB,65,B00000016T,2,5
68,A2TSHD7SWDGS58,66,B00000016T,2,5
69,A5KJVGJ43ZDC9,67,B00000016T,2,5
70,A1USDS1D8MZJUA,68,B00000016T,2,5
71,A1FFPPPIOSI36M,69,B00000016T,2,4
72,A22N03OBDDVSEB,70,B00000016T,2,5
73,A2SF8H9HGK194L,71,B00000016T,2,5
74,A1XVYE0A34BDKR,72,B00000016T,2,5
75,A23Q1T4MXZHFM7,73,B00000016T,2,5
76,A1OML05BTJBEKS,74,B00000016T,2,5
77,AKGOX5Y1EWDQV,75,B00000016T,2,5
78,A3464G00K8ZYD1,76,B00000016T,2,5
79,A3KJ6JAZPH382D,77,B00000016T,2,5
80,A23LCEFE2BWE5F,78,B00000016T,2,5
81,A3SFN7ECK78CEV,79,B00000016T,2,5
82,AFEN54UGJQOK9,80,B00000016T,2,5
83,A4UKBG3M5U5TI,81,B00000016T,2,5
84,A29ZFGK1WJZ873,82,B00000016T,2,5
85,A1C0C9IJO2HS03,83,B00000016W,3,5
86,A22N9H8V0RYQR3,84,B00000016W,3,1
87,A1E110L9ZKX6FD,85,B00000016W,3,5
88,A3HU0B9XUEVHIM,86,B00000016W,3,5
89,A252HNVAZENVNE,87,B00000016W,3,5
90,A1IKOYZVFHO1XP,88,B00000016W,3,5
91,A3A3M74WE0YYPS,89,B00000016W,3,5
92,A1Q02WFA087CTF,90,B00000016W,3,5
93,A1534MBU6VJXYN,91,B00000016W,3,5
94,A33L1SEOXFGL44,92,B00000016W,3,1
95,AH1KJ45IQTM4T,93,B00000016W,3,1
96,A31HTN51QNSQ3F,94,B00000016W,3,5
97,A1V1H3JX5VAMCS,95,B00000016W,3,5
98,A1AJR4BFQ5AW68,96,B00000016W,3,5
99,A2TAPL67U2A5HM,97,B00000016W,3,4
100,A2UO10VW2BLHUM,98,B00000016W,3,5
101,A2KBD1LU5OPMNH,99,B00000016W,3,5
102,A1MXPWDS7SVQN1,100,B00000016W,3,5
103,AE5F46Q10VPCE,101,B00000016W,3,5
104,A38IRL0X2T4DPF,2,B00000016W,3,3
105,A36RS7KTNOBROF,102,B00000016W,3,5
106,A1X4ASH2JYVK9P,103,B00000016W,3,5
107,AFHEGYXMK6HCL,104,B00000016W,3,5
108,A3M1PB13ZBJ3E3,105,B00000016W,3,5
109,A3G10NPD661EQD,106,B00000016W,3,5
110,A23MZ5EULW2GHH,107,B00000016W,3,5
111,ANBSW3BALFRR2,108,B00000016W,3,5
112,A32EDSKLEUZ3Y7,109,B00000016W,3,5
113,A3GHQ2D2Q1DGQC,110,B00000016W,3,5
114,AS558SNWF1DXG,111,B00000016W,3,5
115,A27CFNHYZG6WS8,112,B00000016W,3,5
116,A1906RZITWT2K2,113,B00000016W,3,5
117,A1RX5ERL0QIZ3U,114,B00000016W,3,5
118,A4BA2SSCQ2W56,115,B00000016W,3,4
119,A19163222SFFGR,116,B00000016W,3,5
120,AZDVOFC2MTIM5,117,B00000016W,3,5
121,A3VT7VGDWCIYYQ,118,B00000016W,3,3
122,A8CYS17WU9V1K,119,B00000016W,3,5
123,A3CFORW4TMX9U,120,B00000016W,3,5
124,A29COAL60SB48B,121,B00000016W,3,4
125,A2C9JTFW6KNB4I,122,B00000016W,3,5
126,A13E0ARAXI6KJW,123,B00000016W,3,5
127,A12332BWHBJ1T8,124,B00000016W,3,5
128,A2B4IFORHECQ8Y,125,B00000016W,3,5
129,AXFI7TAWD6H6X,126,B00000016W,3,5
130,AQMY8L2EONMXO,127,B00000016W,3,5
131,AZ35DRA4V3Q3T,128,B00000016W,3,5
132,A26NLSTT75FMJM,129,B00000016W,3,3
133,A2C7BOQVFH1HLE,130,B00000016W,3,4
134,A2BO41VARYGTAC,131,B00000016W,3,5
135,A2HWD9PTM7RBXN,132,B00000016W,3,2
136,A2J8WWG4W0OFYQ,133,B00000016W,3,3
137,AICRDGOQ9KCVA,134,B00000016W,3,5
138,A13OD50LTDL2CQ,135,B00000016W,3,5
139,AYOO12C9Y2T95,136,B00000016W,3,5
140,A1GHW4SIJEVQQU,137,B00000016W,3,5
141,A1J5KCZC8CMW9I,138,B00000016W,3,5
142,A2BLITJITO97N5,139,B00000016W,3,5
143,A2P0PLCR7JWWNR,140,B00000016W,3,5
144,A22VNXHU6IZ5MT,141,B00000016W,3,5
145,A21PISUDSXS9AU,142,B00000016W,3,5
146,A12R54MKO17TW0,143,B00000016W,3,5
147,A3DXVYD2TQHWGD,144,B00000016W,3,4
148,A1GPGBHBI6T2HJ,145,B00000016W,3,5
149,A2HC9FIZ4OVF0O,146,B00000016W,3,5
150,ARWFZ5QJI051S,147,B00000016W,3,5
151,A36CUVZ2FD4SOO,148,B00000016W,3,5
152,A2ZX0H0BM1RJ01,149,B00000016W,3,4
153,A1TGCU5CZF9LKA,150,B00000016W,3,5
154,A2INX8B6VXUVW6,151,B00000016W,3,5
155,A25CQTB313XDWO,152,B00000016W,3,5
156,A3SV72ZAHH2IDH,153,B00000016W,3,4
157,A3OO5ZH1EFWNS4,154,B00000016W,3,5
158,A3DL686B8JEM8A,155,B00000016W,3,5
159,A2D9IEFJGB483Q,156,B00000016W,3,5
160,A13EUSV15UDAUG,157,B00000016W,3,5
161,AEHVPBNCQ3VMX,158,B00000016W,3,5
162,AGKPTMTR3UX1R,159,B00000016W,3,5
163,A1ODZ7SDUPEGNK,160,B00000016W,3,3
164,A1HY4CVW8K1QFQ,161,B00000016W,3,5
165,A2NQUGGYM0DBM1,162,B00000016W,3,5
166,ASSCA9IS0GWF5,54,B00000016W,3,5
167,A1N643TZ48RPG7,163,B00000016W,3,1
168,A11ED8O95W2103,164,B00000016W,3,5
169,A2AOZQ3WTNVVOK,13,B00000016W,3,5
170,AOYLVUVF5VZTU,165,B00000016W,3,5
171,A3LJ0OBQU01LCL,166,B00000016W,3,5
172,AKZGD4R5LEA5,167,B00000016W,3,5
173,A3CG7SQ6DA5YOC,168,B00000016W,3,5
174,AHN34TYB15NWF,169,B00000016W,3,5
175,A22DKBJRTMY7UK,170,B00000016W,3,5
176,A18IZ5QX2PRB3C,171,B00000016W,3,5
177,A3Q83VI243WI7U,172,B00000016W,3,4
178,A2SYP47BL4TP9Q,173,B00000016W,3,5
179,A1X4JO8EJ1U5BR,174,B00000016W,3,5
180,A34Y1FT0MTD7C9,175,B00000016W,3,3
181,A1N7TI8FDNROIM,176,B00000016W,3,3
182,A2UR38SZPVA07I,177,B00000016W,3,5
183,A30CJW1RNUHMN6,178,B00000016W,3,5
