user,item,error
0,0,1.3604643
1,0,0.53604513
2,0,4.9489794
3,0,0.01969996
4,0,0.92446697
5,0,1.0681394
6,1,1.0932084
7,1,0.00041850956
8,1,1.4004844
9,1,0.011514732
10,1,0.0009609494
11,2,0.0021936016
12,2,0.8076463
13,2,0.03923505
14,2,1.1153948
15,2,0.44898093
16,3,0.7018222
17,3,0.5430899
13,3,1.2940137
8,3,0.62511367
18,3,1.693959
19,3,0.2953922
10,3,0.3333117
20,3,0.0003981893
21,3,0.79108196
22,3,0.89298975
23,4,1.7361282
24,4,0.17883894
25,4,1.4633507
26,4,0.44354504
27,4,1.5906326
28,4,2.1873856
29,4,3.953434
30,4,0.058010317
31,4,0.45290956
32,4,1.4522995
33,4,0.28411543
34,4,0.20559503
35,4,1.7859765
36,4,11.877493
37,4,0.04196673
38,4,0.03582323
39,4,0.61384493
40,4,0.2833184
41,4,0.5836187
42,4,2.8937805
43,4,0.1250114
44,4,0.6497855
45,4,0.38703614
46,4,2.4075572
47,5,0.0
48,5,0.0
49,5,0.42948326
50,5,0.013339032
51,5,0.0
52,5,0.0035995927
53,5,5.4774127
54,5,0.28041318
55,5,0.47459635
56,5,0.40748465
57,5,0.1506232
58,5,2.3112044
59,5,0.06128691
35,5,0.004940294
60,5,0.06790371
61,5,0.9200608
62,5,0.01638187
63,5,0.46945947
64,5,0.076328225
65,5,0.0
66,5,0.0054990132
67,5,0.0
68,5,0.06923072
69,5,0.0
70,5,0.0
71,5,0.24313037
72,5,0.0
73,5,0.4710218
74,5,0.0
75,5,0.89843905
76,5,0.46351975
77,5,0.69653326
78,5,1.5880423
79,6,0.059796885
80,6,0.2640582
67,6,0.2638397
81,6,0.044621654
82,6,0.022358488
83,7,0.0014632426
84,7,0.0
85,7,0.009071134
86,7,0.19948006
87,7,0.006346238
88,7,0.03375781
89,7,0.0
90,7,0.0
91,7,0.053442076
92,7,0.0
93,7,0.0
94,7,0.02293874
95,7,0.35270444
96,7,0.011481854
97,7,0.069677845
98,7,0.017294947
99,7,0.0
100,7,0.20527646
101,7,0.09804466
102,7,0.24915099
103,7,0.16072951
104,7,4.0
105,8,0.010448745
106,8,0.01923108
107,8,0.5754154
108,8,0.45803824
109,8,0.030050503
110,8,0.14654687
111,8,1.1775231
112,8,0.91760904
113,8,0.008138783
114,8,0.0048880484
109,9,0.07401063
115,9,0.19260348
110,9,0.10687016
116,9,0.03649484
117,9,1.4878759
118,10,0.042308535
119,10,0.055982005
109,10,0.005023222
115,10,0.0
120,10,0.037340287
117,10,0.061603684
109,11,0.63538677
110,11,0.1494994
112,11,0.29778647
121,11,0.23848285
122,11,0.48427874
123,12,0.91161144
124,12,0.41652954
125,12,0.035792913
126,12,3.0017755
127,12,0.17243579
128,12,0.112643935
129,12,0.39395413
130,12,0.025729967
131,12,0.0036515605
132,13,0.037007846
133,13,0.15108733
134,13,0.41746128
18,13,0.0849673
135,13,0.1999203
136,14,1.5402744
137,14,0.0014740607
138,14,0.029222576
139,14,11.221059
115,14,0.15202068
140,14,0.5643311
141,14,0.32264766
142,14,0.016688446
143,14,0.0
144,14,0.13328366
145,14,0.3535925
146,14,0.05777718
147,14,0.002914187
148,14,0.041211158
149,14,0.2509073
150,14,0.043064553
151,14,0.0
152,14,0.011133214
153,14,0.0848692
154,14,0.06909629
155,14,0.0027935014
156,14,0.06287058
157,14,0.0025188897
158,14,0.02452565
159,15,0.029274441
160,15,0.057233807
161,15,0.5248072
162,15,0.13111305
163,15,0.38442054
164,15,0.061806943
165,15,0.054914877
166,15,0.021145958
167,15,0.14204657
139,15,0.46432263
168,15,0.07550341
169,15,0.027050601
170,15,0.21352541
171,15,0.9062275
172,15,0.0038514878
173,15,0.049834777
174,15,1.4271736
175,15,0.08884257
176,15,0.0
177,15,0.6840712
178,15,0.012543357
179,15,0.011086573
180,15,0.046368293
145,15,0.81076425
181,15,0.020676732
182,15,1.1518825
183,15,0.29473895
184,15,0.043232094
185,15,0.2963394
186,15,1.523438
187,15,0.0018113216
188,15,0.31369072
189,15,0.26972398
150,15,0.04521001
190,15,1.9723048
191,15,0.17038363
192,15,0.8804465
193,15,0.32606998
194,15,0.13999468
195,15,0.34413573
196,15,0.012163685
197,15,0.033357136
